FirstTeam,SecondTeam,Date,W/L,HomeCourt
DEN,SAC,04/09/2023,W,1
DAL,SAS,04/09/2023,L,1
SAS,DAL,04/09/2023,W,0
OKC,MEM,04/09/2023,W,1
MEM,OKC,04/09/2023,L,0
SAC,DEN,04/09/2023,L,0
DET,CHI,04/09/2023,L,0
CHI,DET,04/09/2023,W,1
UTA,LAL,04/09/2023,L,0
LAL,UTA,04/09/2023,W,1
LAC,PHX,04/09/2023,W,0
PHX,LAC,04/09/2023,L,1
POR,GSW,04/09/2023,L,1
GSW,POR,04/09/2023,W,0
ATL,BOS,04/09/2023,L,0
BOS,ATL,04/09/2023,W,1
ORL,MIA,04/09/2023,L,0
MIA,ORL,04/09/2023,W,1
CHA,CLE,04/09/2023,W,0
IND,NYK,04/09/2023,W,0
NYK,IND,04/09/2023,L,1
CLE,CHA,04/09/2023,L,1
WAS,HOU,04/09/2023,L,1
HOU,WAS,04/09/2023,W,0
PHI,BKN,04/09/2023,W,0
BKN,PHI,04/09/2023,L,1
NOP,MIN,04/09/2023,L,0
MIN,NOP,04/09/2023,W,1
MIL,TOR,04/09/2023,L,0
TOR,MIL,04/09/2023,W,1
LAC,POR,04/08/2023,W,1
POR,LAC,04/08/2023,L,0
MIN,SAS,04/08/2023,W,0
SAS,MIN,04/08/2023,L,1
DEN,UTA,04/08/2023,L,0
UTA,DEN,04/08/2023,W,1
CHA,HOU,04/07/2023,L,1
HOU,CHA,04/07/2023,W,0
DET,IND,04/07/2023,W,0
IND,DET,04/07/2023,L,1
WAS,MIA,04/07/2023,W,1
MIA,WAS,04/07/2023,L,0
BOS,TOR,04/07/2023,W,1
TOR,BOS,04/07/2023,L,0
MIL,MEM,04/07/2023,L,1
BKN,ORL,04/07/2023,W,1
PHX,LAL,04/07/2023,L,0
LAL,PHX,04/07/2023,W,1
GSW,SAC,04/07/2023,W,0
SAC,GSW,04/07/2023,L,1
PHI,ATL,04/07/2023,W,0
ATL,PHI,04/07/2023,L,1
CHI,DAL,04/07/2023,W,0
DAL,CHI,04/07/2023,L,1
NYK,NOP,04/07/2023,L,0
NOP,NYK,04/07/2023,W,1
MEM,MIL,04/07/2023,W,0
ORL,BKN,04/07/2023,L,0
PHX,DEN,04/06/2023,W,1
