FirstTeam,SecondTeam,Date,W/L
DEN,SAC,04/09/2023,W
DAL,SAS,04/09/2023,L
SAS,DAL,04/09/2023,W
OKC,MEM,04/09/2023,W
MEM,OKC,04/09/2023,L
SAC,DEN,04/09/2023,L
DET,CHI,04/09/2023,L
CHI,DET,04/09/2023,W
UTA,LAL,04/09/2023,L
LAL,UTA,04/09/2023,W
LAC,PHX,04/09/2023,W
PHX,LAC,04/09/2023,L
POR,GSW,04/09/2023,L
GSW,POR,04/09/2023,W
ATL,BOS,04/09/2023,L
BOS,ATL,04/09/2023,W
ORL,MIA,04/09/2023,L
MIA,ORL,04/09/2023,W
CHA,CLE,04/09/2023,W
IND,NYK,04/09/2023,W
NYK,IND,04/09/2023,L
CLE,CHA,04/09/2023,L
WAS,HOU,04/09/2023,L
HOU,WAS,04/09/2023,W
PHI,BKN,04/09/2023,W
BKN,PHI,04/09/2023,L
NOP,MIN,04/09/2023,L
MIN,NOP,04/09/2023,W
MIL,TOR,04/09/2023,L
TOR,MIL,04/09/2023,W
LAC,POR,04/08/2023,W
POR,LAC,04/08/2023,L
MIN,SAS,04/08/2023,W
SAS,MIN,04/08/2023,L
DEN,UTA,04/08/2023,L
UTA,DEN,04/08/2023,W
CHA,HOU,04/07/2023,L
HOU,CHA,04/07/2023,W
DET,IND,04/07/2023,W
IND,DET,04/07/2023,L
WAS,MIA,04/07/2023,W
MIA,WAS,04/07/2023,L
BOS,TOR,04/07/2023,W
TOR,BOS,04/07/2023,L
MIL,MEM,04/07/2023,L
BKN,ORL,04/07/2023,W
PHX,LAL,04/07/2023,L
LAL,PHX,04/07/2023,W
GSW,SAC,04/07/2023,W
SAC,GSW,04/07/2023,L
PHI,ATL,04/07/2023,W
ATL,PHI,04/07/2023,L
CHI,DAL,04/07/2023,W
DAL,CHI,04/07/2023,L
NYK,NOP,04/07/2023,L
NOP,NYK,04/07/2023,W
MEM,MIL,04/07/2023,W
ORL,BKN,04/07/2023,L
PHX,DEN,04/06/2023,W
DEN,PHX,04/06/2023,L
POR,SAS,04/06/2023,L
SAS,POR,04/06/2023,W
PHI,MIA,04/06/2023,L
CLE,ORL,04/06/2023,W
ORL,CLE,04/06/2023,L
MIA,PHI,04/06/2023,W
OKC,UTA,04/06/2023,W
UTA,OKC,04/06/2023,L
TOR,BOS,04/05/2023,L
BKN,DET,04/05/2023,W
DET,BKN,04/05/2023,L
IND,NYK,04/05/2023,L
NYK,IND,04/05/2023,W
BOS,TOR,04/05/2023,W
WAS,ATL,04/05/2023,L
ATL,WAS,04/05/2023,W
MIL,CHI,04/05/2023,W
CHI,MIL,04/05/2023,L
MEM,NOP,04/05/2023,L
NOP,MEM,04/05/2023,W
DAL,SAC,04/05/2023,W
SAC,DAL,04/05/2023,L
LAL,LAC,04/05/2023,L
LAC,LAL,04/05/2023,W
DET,MIA,04/04/2023,L
MIA,DET,04/04/2023,W
ORL,CLE,04/04/2023,L
CLE,ORL,04/04/2023,W
WAS,MIL,04/04/2023,L
MIL,WAS,04/04/2023,W
MIN,BKN,04/04/2023,W
BKN,MIN,04/04/2023,L
DEN,HOU,04/04/2023,L
HOU,DEN,04/04/2023,W
BOS,PHI,04/04/2023,L
PHI,BOS,04/04/2023,W
MEM,POR,04/04/2023,W
POR,MEM,04/04/2023,L
OKC,GSW,04/04/2023,L
NOP,SAC,04/04/2023,L
ATL,CHI,04/04/2023,W
CHI,ATL,04/04/2023,L
UTA,LAL,04/04/2023,L
LAL,UTA,04/04/2023,W
PHX,SAS,04/04/2023,W
SAS,PHX,04/04/2023,L
TOR,CHA,04/04/2023,W
CHA,TOR,04/04/2023,L
GSW,OKC,04/04/2023,W
SAC,NOP,04/04/2023,W
PHX,OKC,04/02/2023,W
OKC,PHX,04/02/2023,L
CHA,TOR,04/02/2023,L
PHI,MIL,04/02/2023,L
MIL,PHI,04/02/2023,W
IND,CLE,04/02/2023,L
CLE,IND,04/02/2023,W
DEN,GSW,04/02/2023,W
GSW,DEN,04/02/2023,L
TOR,CHA,04/02/2023,W
NYK,WAS,04/02/2023,W
MIN,POR,04/02/2023,L
POR,MIN,04/02/2023,W
WAS,NYK,04/02/2023,L
LAL,HOU,04/02/2023,W
DAL,ATL,04/02/2023,L
HOU,LAL,04/02/2023,L
CHI,MEM,04/02/2023,W
ATL,DAL,04/02/2023,W
ORL,DET,04/02/2023,W
DET,ORL,04/02/2023,L
MEM,CHI,04/02/2023,L
BKN,UTA,04/02/2023,W
UTA,BKN,04/02/2023,L
SAC,SAS,04/02/2023,L
SAS,SAC,04/02/2023,W
LAC,NOP,04/01/2023,L
NOP,LAC,04/01/2023,W
MIA,DAL,04/01/2023,W
DAL,MIA,04/01/2023,L
WAS,ORL,03/31/2023,L
PHI,TOR,03/31/2023,W
IND,OKC,03/31/2023,W
OKC,IND,03/31/2023,L
UTA,BOS,03/31/2023,L
BOS,UTA,03/31/2023,W
BKN,ATL,03/31/2023,W
ATL,BKN,03/31/2023,L
CLE,NYK,03/31/2023,L
NYK,CLE,03/31/2023,W
CHA,CHI,03/31/2023,L
CHI,CHA,03/31/2023,W
ORL,WAS,03/31/2023,W
MEM,LAC,03/31/2023,W
LAC,MEM,03/31/2023,L
DET,HOU,03/31/2023,L
HOU,DET,03/31/2023,W
LAL,MIN,03/31/2023,W
MIN,LAL,03/31/2023,L
POR,SAC,03/31/2023,L
SAC,POR,03/31/2023,W
SAS,GSW,03/31/2023,L
GSW,SAS,03/31/2023,W
DEN,PHX,03/31/2023,L
PHX,DEN,03/31/2023,W
TOR,PHI,03/31/2023,L
NOP,DEN,03/30/2023,W
DEN,NOP,03/30/2023,L
BOS,MIL,03/30/2023,W
MIL,BOS,03/30/2023,L
UTA,SAS,03/29/2023,W
SAS,UTA,03/29/2023,L
MIL,IND,03/29/2023,W
IND,MIL,03/29/2023,L
MEM,LAC,03/29/2023,L
PHI,DAL,03/29/2023,W
BKN,HOU,03/29/2023,W
HOU,BKN,03/29/2023,L
LAC,MEM,03/29/2023,W
DET,OKC,03/29/2023,L
OKC,DET,03/29/2023,W
DAL,PHI,03/29/2023,L
PHX,MIN,03/29/2023,W
CHI,LAL,03/29/2023,L
SAC,POR,03/29/2023,W
POR,SAC,03/29/2023,L
MIN,PHX,03/29/2023,L
LAL,CHI,03/29/2023,W
NYK,MIA,03/29/2023,W
MIA,NYK,03/29/2023,L
NOP,GSW,03/28/2023,L
GSW,NOP,03/28/2023,W
OKC,CHA,03/28/2023,L
CHA,OKC,03/28/2023,W
ORL,MEM,03/28/2023,L
MEM,ORL,03/28/2023,W
WAS,BOS,03/28/2023,W
BOS,WAS,03/28/2023,L
ATL,CLE,03/28/2023,W
CLE,ATL,03/28/2023,L
MIA,TOR,03/28/2023,L
TOR,MIA,03/28/2023,W
SAC,MIN,03/27/2023,L
LAC,CHI,03/27/2023,W
CHI,LAC,03/27/2023,L
MIN,SAC,03/27/2023,W
POR,NOP,03/27/2023,L
NOP,POR,03/27/2023,W
PHI,DEN,03/27/2023,L
DEN,PHI,03/27/2023,W
UTA,PHX,03/27/2023,L
PHX,UTA,03/27/2023,W
HOU,NYK,03/27/2023,L
NYK,HOU,03/27/2023,W
MIL,DET,03/27/2023,W
DET,MIL,03/27/2023,L
IND,DAL,03/27/2023,L
DAL,IND,03/27/2023,W
POR,OKC,03/26/2023,L
CLE,HOU,03/26/2023,W
HOU,CLE,03/26/2023,L
CHI,LAL,03/26/2023,W
MEM,ATL,03/26/2023,W
BKN,ORL,03/26/2023,L
ATL,MEM,03/26/2023,L
LAL,CHI,03/26/2023,L
OKC,POR,03/26/2023,W
BOS,SAS,03/26/2023,W
SAS,BOS,03/26/2023,L
TOR,WAS,03/26/2023,W
WAS,TOR,03/26/2023,L
ORL,BKN,03/26/2023,W
MIN,GSW,03/26/2023,W
GSW,MIN,03/26/2023,L
DAL,CHA,03/26/2023,L
CHA,DAL,03/26/2023,W
BKN,MIA,03/25/2023,W
ATL,IND,03/25/2023,W
IND,ATL,03/25/2023,L
DEN,MIL,03/25/2023,W
MIL,DEN,03/25/2023,L
UTA,SAC,03/25/2023,L
SAC,UTA,03/25/2023,W
PHX,PHI,03/25/2023,W
PHI,PHX,03/25/2023,L
LAC,NOP,03/25/2023,L
NOP,LAC,03/25/2023,W
MIA,BKN,03/25/2023,L
LAL,OKC,03/24/2023,W
OKC,LAL,03/24/2023,L
DAL,CHA,03/24/2023,L
PHX,SAC,03/24/2023,L
CHA,DAL,03/24/2023,W
CHI,POR,03/24/2023,W
SAC,PHX,03/24/2023,W
POR,CHI,03/24/2023,L
HOU,MEM,03/24/2023,L
MEM,HOU,03/24/2023,W
TOR,DET,03/24/2023,W
DET,TOR,03/24/2023,L
IND,BOS,03/24/2023,L
BOS,IND,03/24/2023,W
WAS,SAS,03/24/2023,W
SAS,WAS,03/24/2023,L
UTA,MIL,03/24/2023,L
MIL,UTA,03/24/2023,W
PHI,GSW,03/24/2023,L
GSW,PHI,03/24/2023,W
NYK,ORL,03/23/2023,L
OKC,LAC,03/23/2023,L
LAC,OKC,03/23/2023,W
BKN,CLE,03/23/2023,L
CLE,BKN,03/23/2023,W
