FirstTeam,SecondTeam,Date,W/L,HomeCourt
PHX,SAS,05/16/2021,W,0
WAS,CHA,05/16/2021,W,1
NYK,BOS,05/16/2021,W,1
DET,MIA,05/16/2021,L,1
MIA,DET,05/16/2021,W,0
CHI,MIL,05/16/2021,W,1
MIL,CHI,05/16/2021,L,0
DEN,POR,05/16/2021,L,0
TOR,IND,05/16/2021,L,1
IND,TOR,05/16/2021,W,0
SAC,UTA,05/16/2021,L,1
UTA,SAC,05/16/2021,W,0
ORL,PHI,05/16/2021,L,0
PHI,ORL,05/16/2021,W,1
POR,DEN,05/16/2021,W,1
LAC,OKC,05/16/2021,L,0
ATL,HOU,05/16/2021,W,1
BOS,NYK,05/16/2021,L,0
OKC,LAC,05/16/2021,W,1
CHA,WAS,05/16/2021,L,0
LAL,NOP,05/16/2021,W,0
NOP,LAL,05/16/2021,L,1
HOU,ATL,05/16/2021,L,0
CLE,BKN,05/16/2021,L,0
MEM,GSW,05/16/2021,L,0
BKN,CLE,05/16/2021,W,1
GSW,MEM,05/16/2021,W,1
DAL,MIN,05/16/2021,L,0
MIN,DAL,05/16/2021,W,1
SAS,PHX,05/16/2021,L,1
MIA,MIL,05/15/2021,L,0
BKN,CHI,05/15/2021,W,1
CHI,BKN,05/15/2021,L,0
PHX,SAS,05/15/2021,W,0
SAS,PHX,05/15/2021,L,1
MIL,MIA,05/15/2021,W,1
NYK,CHA,05/15/2021,W,1
CHA,NYK,05/15/2021,L,0
LAL,IND,05/15/2021,W,0
IND,LAL,05/15/2021,L,1
BOS,MIN,05/15/2021,W,0
MIN,BOS,05/15/2021,L,1
GSW,NOP,05/14/2021,W,1
NOP,GSW,05/14/2021,L,0
HOU,LAC,05/14/2021,W,1
LAC,HOU,05/14/2021,L,0
WAS,CLE,05/14/2021,W,1
DAL,TOR,05/14/2021,W,1
TOR,DAL,05/14/2021,L,0
DET,DEN,05/14/2021,L,1
OKC,UTA,05/14/2021,L,1
UTA,OKC,05/14/2021,W,0
DEN,DET,05/14/2021,W,0
CLE,WAS,05/14/2021,L,0
PHI,ORL,05/14/2021,W,1
ORL,PHI,05/14/2021,L,0
SAC,MEM,05/14/2021,L,0
MEM,SAC,05/14/2021,W,1
POR,PHX,05/13/2021,L,0
ATL,ORL,05/13/2021,W,1
MIN,DEN,05/13/2021,L,1
ORL,ATL,05/13/2021,L,0
DEN,MIN,05/13/2021,W,0
NYK,SAS,05/13/2021,W,1
MIA,PHI,05/13/2021,W,1
CHA,LAC,05/13/2021,L,1
LAC,CHA,05/13/2021,W,0
SAC,MEM,05/13/2021,L,0
PHX,POR,05/13/2021,W,1
PHI,MIA,05/13/2021,L,0
SAS,NYK,05/13/2021,L,0
CHI,TOR,05/13/2021,W,1
TOR,CHI,05/13/2021,L,0
MIL,IND,05/13/2021,W,0
IND,MIL,05/13/2021,L,1
MEM,SAC,05/13/2021,W,1
DAL,NOP,05/12/2021,W,1
NOP,DAL,05/12/2021,L,0
WAS,ATL,05/12/2021,L,0
ATL,WAS,05/12/2021,W,1
BKN,SAS,05/12/2021,W,1
LAL,HOU,05/12/2021,W,1
HOU,LAL,05/12/2021,L,0
