FirstTeam,SecondTeam,Date,W/L
DEN,SAC,04/09/2023,W
DAL,SAS,04/09/2023,L
OKC,MEM,04/09/2023,W
DET,CHI,04/09/2023,L
UTA,LAL,04/09/2023,L
LAC,PHX,04/09/2023,W
POR,GSW,04/09/2023,L
ATL,BOS,04/09/2023,L
ORL,MIA,04/09/2023,L
CHA,CLE,04/09/2023,W
IND,NYK,04/09/2023,W
WAS,HOU,04/09/2023,L
PHI,BKN,04/09/2023,W
NOP,MIN,04/09/2023,L
MIL,TOR,04/09/2023,L
LAC,POR,04/08/2023,W
MIN,SAS,04/08/2023,W
DEN,UTA,04/08/2023,L
CHA,HOU,04/07/2023,L
DET,IND,04/07/2023,W
WAS,MIA,04/07/2023,W
BOS,TOR,04/07/2023,W
MIL,MEM,04/07/2023,L
BKN,ORL,04/07/2023,W
PHX,LAL,04/07/2023,L
GSW,SAC,04/07/2023,W
PHI,ATL,04/07/2023,W
CHI,DAL,04/07/2023,W
NYK,NOP,04/07/2023,L
PHX,DEN,04/06/2023,W
POR,SAS,04/06/2023,L
PHI,MIA,04/06/2023,L
CLE,ORL,04/06/2023,W
OKC,UTA,04/06/2023,W
TOR,BOS,04/05/2023,L
BKN,DET,04/05/2023,W
IND,NYK,04/05/2023,L
WAS,ATL,04/05/2023,L
MIL,CHI,04/05/2023,W
MEM,NOP,04/05/2023,L
DAL,SAC,04/05/2023,W
LAL,LAC,04/05/2023,L
DET,MIA,04/04/2023,L
ORL,CLE,04/04/2023,L
WAS,MIL,04/04/2023,L
MIN,BKN,04/04/2023,W
DEN,HOU,04/04/2023,L
BOS,PHI,04/04/2023,L
MEM,POR,04/04/2023,W
OKC,GSW,04/04/2023,L
NOP,SAC,04/04/2023,L
ATL,CHI,04/04/2023,W
UTA,LAL,04/04/2023,L
PHX,SAS,04/04/2023,W
TOR,CHA,04/04/2023,W
PHX,OKC,04/02/2023,W
CHA,TOR,04/02/2023,L
PHI,MIL,04/02/2023,L
IND,CLE,04/02/2023,L
DEN,GSW,04/02/2023,W
NYK,WAS,04/02/2023,W
MIN,POR,04/02/2023,L
LAL,HOU,04/02/2023,W
DAL,ATL,04/02/2023,L
CHI,MEM,04/02/2023,W
ORL,DET,04/02/2023,W
BKN,UTA,04/02/2023,W
SAC,SAS,04/02/2023,L
LAC,NOP,04/01/2023,L
MIA,DAL,04/01/2023,W
WAS,ORL,03/31/2023,L
PHI,TOR,03/31/2023,W
IND,OKC,03/31/2023,W
UTA,BOS,03/31/2023,L
BKN,ATL,03/31/2023,W
CLE,NYK,03/31/2023,L
CHA,CHI,03/31/2023,L
MEM,LAC,03/31/2023,W
DET,HOU,03/31/2023,L
LAL,MIN,03/31/2023,W
POR,SAC,03/31/2023,L
SAS,GSW,03/31/2023,L
DEN,PHX,03/31/2023,L
NOP,DEN,03/30/2023,W
BOS,MIL,03/30/2023,W
UTA,SAS,03/29/2023,W
MIL,IND,03/29/2023,W
MEM,LAC,03/29/2023,L
PHI,DAL,03/29/2023,W
BKN,HOU,03/29/2023,W
DET,OKC,03/29/2023,L
PHX,MIN,03/29/2023,W
CHI,LAL,03/29/2023,L
SAC,POR,03/29/2023,W
NYK,MIA,03/29/2023,W
NOP,GSW,03/28/2023,L
OKC,CHA,03/28/2023,L
ORL,MEM,03/28/2023,L
WAS,BOS,03/28/2023,W
ATL,CLE,03/28/2023,W
MIA,TOR,03/28/2023,L
SAC,MIN,03/27/2023,L
LAC,CHI,03/27/2023,W
POR,NOP,03/27/2023,L
PHI,DEN,03/27/2023,L
UTA,PHX,03/27/2023,L
HOU,NYK,03/27/2023,L
MIL,DET,03/27/2023,W
IND,DAL,03/27/2023,L
POR,OKC,03/26/2023,L
CLE,HOU,03/26/2023,W
CHI,LAL,03/26/2023,W
MEM,ATL,03/26/2023,W
BKN,ORL,03/26/2023,L
BOS,SAS,03/26/2023,W
TOR,WAS,03/26/2023,W
MIN,GSW,03/26/2023,W
DAL,CHA,03/26/2023,L
BKN,MIA,03/25/2023,W
ATL,IND,03/25/2023,W
DEN,MIL,03/25/2023,W
UTA,SAC,03/25/2023,L
PHX,PHI,03/25/2023,W
LAC,NOP,03/25/2023,L
LAL,OKC,03/24/2023,W
DAL,CHA,03/24/2023,L
PHX,SAC,03/24/2023,L
CHI,POR,03/24/2023,W
HOU,MEM,03/24/2023,L
TOR,DET,03/24/2023,W
IND,BOS,03/24/2023,L
WAS,SAS,03/24/2023,W
UTA,MIL,03/24/2023,L
PHI,GSW,03/24/2023,L
NYK,ORL,03/23/2023,L
OKC,LAC,03/23/2023,L
BKN,CLE,03/23/2023,L
NOP,CHA,03/23/2023,W
DAL,GSW,03/22/2023,L
NYK,MIA,03/22/2023,L
IND,TOR,03/22/2023,W
UTA,POR,03/22/2023,L
PHI,CHI,03/22/2023,W
PHX,LAL,03/22/2023,L
MEM,HOU,03/22/2023,W
MIN,ATL,03/22/2023,W
SAS,MIL,03/22/2023,L
WAS,DEN,03/22/2023,L
ORL,WAS,03/21/2023,W
OKC,LAC,03/21/2023,W
BOS,SAC,03/21/2023,W
ATL,DET,03/21/2023,W
SAS,NOP,03/21/2023,L
CLE,BKN,03/21/2023,W
SAC,UTA,03/20/2023,L
NYK,MIN,03/20/2023,L
CHA,IND,03/20/2023,W
CHI,PHI,03/20/2023,W
MEM,DAL,03/20/2023,W
GSW,HOU,03/20/2023,W
PHX,OKC,03/19/2023,L
LAL,ORL,03/19/2023,W
DEN,BKN,03/19/2023,W
MIL,TOR,03/19/2023,W
LAC,POR,03/19/2023,W
HOU,NOP,03/19/2023,L
ATL,SAS,03/19/2023,L
MIA,DET,03/19/2023,W
CHI,MIA,03/18/2023,W
MEM,GSW,03/18/2023,W
LAC,ORL,03/18/2023,L
MIN,TOR,03/18/2023,L
IND,PHI,03/18/2023,L
SAC,WAS,03/18/2023,W
NYK,DEN,03/18/2023,W
BOS,UTA,03/18/2023,L
ATL,GSW,03/17/2023,W
HOU,NOP,03/17/2023,W
LAL,DAL,03/17/2023,L
BOS,POR,03/17/2023,W
MIN,CHI,03/17/2023,L
SAS,MEM,03/17/2023,L
CLE,WAS,03/17/2023,W
CHA,PHI,03/17/2023,L
SAC,BKN,03/16/2023,W
IND,MIL,03/16/2023,W
DET,DEN,03/16/2023,L
OKC,TOR,03/16/2023,L
ORL,PHX,03/16/2023,L
DAL,SAS,03/15/2023,W
SAC,CHI,03/15/2023,W
HOU,LAL,03/15/2023,W
MIA,MEM,03/15/2023,W
GSW,LAC,03/15/2023,L
BOS,MIN,03/15/2023,W
CLE,PHI,03/15/2023,L
NYK,POR,03/14/2023,W
TOR,DEN,03/14/2023,W
CHA,CLE,03/14/2023,L
PHX,MIL,03/14/2023,L
ORL,SAS,03/14/2023,L
NOP,LAL,03/14/2023,L
BKN,OKC,03/14/2023,L
DET,WAS,03/14/2023,L
PHX,GSW,03/13/2023,L
SAC,MIL,03/13/2023,L
UTA,MIA,03/13/2023,L
HOU,BOS,03/13/2023,W
MEM,DAL,03/13/2023,W
ATL,MIN,03/13/2023,L
DET,IND,03/13/2023,W
NYK,LAL,03/12/2023,W
PHI,WAS,03/12/2023,W
OKC,SAS,03/12/2023,W
DEN,BKN,03/12/2023,L
NOP,POR,03/12/2023,W
CHA,CLE,03/12/2023,L
MIL,GSW,03/11/2023,L
DET,IND,03/11/2023,L
DAL,MEM,03/11/2023,L
CHA,UTA,03/11/2023,L
LAC,NYK,03/11/2023,W
PHX,SAC,03/11/2023,L
BOS,ATL,03/11/2023,W
HOU,CHI,03/11/2023,L
MIA,ORL,03/11/2023,L
OKC,NOP,03/11/2023,W
PHI,POR,03/10/2023,W
BKN,MIN,03/10/2023,W
ATL,WAS,03/10/2023,W
SAS,DEN,03/10/2023,W
LAL,TOR,03/10/2023,W
MIA,CLE,03/10/2023,W
UTA,ORL,03/09/2023,W
NYK,SAC,03/09/2023,L
HOU,IND,03/09/2023,L
MEM,GSW,03/09/2023,W
MIL,BKN,03/09/2023,W
DET,CHA,03/09/2023,L
TOR,LAC,03/08/2023,L
BOS,POR,03/08/2023,W
CHI,DEN,03/08/2023,W
OKC,PHX,03/08/2023,L
ATL,WAS,03/08/2023,W
CLE,MIA,03/08/2023,W
NOP,DAL,03/08/2023,W
MIL,ORL,03/07/2023,W
BKN,HOU,03/07/2023,W
MIN,PHI,03/07/2023,L
OKC,GSW,03/07/2023,W
NYK,CHA,03/07/2023,L
DAL,UTA,03/07/2023,W
DET,WAS,03/07/2023,L
LAL,MEM,03/07/2023,W
CLE,BOS,03/06/2023,W
PHI,IND,03/06/2023,W
POR,DET,03/06/2023,W
DEN,TOR,03/06/2023,W
SAC,NOP,03/06/2023,W
ATL,MIA,03/06/2023,L
NYK,BOS,03/05/2023,W
SAS,HOU,03/05/2023,L
WAS,MIL,03/05/2023,L
OKC,UTA,03/05/2023,W
GSW,LAL,03/05/2023,L
MEM,LAC,03/05/2023,L
PHX,DAL,03/05/2023,W
IND,CHI,03/05/2023,W
POR,ORL,03/05/2023,W
CHA,BKN,03/05/2023,L
WAS,TOR,03/04/2023,L
SAS,HOU,03/04/2023,L
DET,CLE,03/04/2023,L
